IDADE_codes,RENDA_codes,CONSUMO_codes,LATITUDE_codes,LONGITUDE_codes,CLUSTER
49.00000000000001,2.0,15.000000000000002,1.9999999999999996,363.0,3
11.0,0.0,15.000000000000002,12.0,805.0,0
16.0,0.0,4.0,83.0,64.0,1
18.0,0.0,18.0,122.0,812.0,0
16.0,0.0,12.999999999999998,221.0,904.0,0
16.0,1.0,12.999999999999998,447.0,268.0,2
65.99999999999999,2.0,15.000000000000002,936.0,144.0,2
16.0,1.0,15.000000000000002,-1.0,-1.0,1
14.0,0.0,15.000000000000002,-1.0,-1.0,1
19.0,0.0,15.000000000000002,704.0,801.0,0
42.99999999999999,1.0,15.000000000000002,553.0,364.0,2
39.0,1.0,15.000000000000002,315.0,136.0,1
22.0,1.0,15.000000000000002,545.0,383.0,2
19.0,0.0,15.000000000000002,709.0,854.0,0
15.0,1.0,15.000000000000002,-1.0,-1.0,1
19.0,0.0,15.000000000000002,941.0,0.0,0
19.0,2.0,15.000000000000002,863.0,783.0,2
16.0,1.0,15.000000000000002,157.0,452.0,1
21.0,2.0,15.000000000000002,298.0,170.0,3
26.0,2.0,15.000000000000002,940.0,37.0,2
23.0,0.0,15.000000000000002,-1.0,-1.0,1
16.0,2.0,15.000000000000002,-1.0,-1.0,3
16.0,0.0,16.0,-1.0,-1.0,1
18.0,0.0,9.0,80.0,67.0,1
35.0,1.0,15.000000000000002,-1.0,-1.0,1
19.0,2.0,15.000000000000002,864.0,784.0,2
16.0,0.0,4.0,382.0,900.0,0
10.0,2.0,15.000000000000002,818.0,597.0,2
18.0,0.0,15.000000000000002,-1.0,-1.0,1
32.0,2.0,15.000000000000002,169.0,591.0,2
44.0,0.0,19.0,628.0,561.0,0
49.99999999999999,2.0,15.000000000000002,732.0,726.0,2
16.0,1.0,19.0,848.0,680.0,0
21.0,2.0,15.000000000000002,832.0,717.0,2
50.99999999999999,2.0,15.000000000000002,-1.0,-1.0,3
20.0,1.0,12.999999999999998,784.0,684.0,0
18.0,0.0,15.000000000000002,196.0,541.0,0
33.0,2.0,18.0,-1.0,-1.0,3
22.0,2.0,15.000000000000002,-1.0,-1.0,3
40.00000000000001,0.0,12.999999999999998,572.0,478.0,0
20.0,0.0,15.000000000000002,-1.0,-1.0,1
17.0,0.0,19.0,856.0,637.0,0
38.0,1.0,15.000000000000002,548.0,369.0,2
28.0,0.0,18.0,-1.0,-1.0,1
15.0,2.0,15.000000000000002,-1.0,-1.0,3
23.0,2.0,12.0,290.0,935.0,2
18.0,0.0,19.0,756.0,727.0,0
21.0,1.0,15.000000000000002,-1.0,-1.0,1
16.0,2.0,15.000000000000002,-1.0,-1.0,3
21.0,0.0,4.0,-1.0,-1.0,1
34.0,1.0,17.0,469.0,271.0,2
22.0,2.0,16.0,-1.0,-1.0,3
29.0,1.0,15.000000000000002,-1.0,-1.0,1
18.0,0.0,15.000000000000002,70.0,82.0,1
31.0,0.0,16.0,448.0,264.0,0
19.0,2.0,15.000000000000002,887.0,184.0,2
29.0,2.0,15.000000000000002,-1.0,-1.0,3
18.0,0.0,15.000000000000002,-1.0,-1.0,1
72.0,2.0,15.000000000000002,305.0,187.0,3
50.99999999999999,1.0,15.000000000000002,-1.0,-1.0,3
15.0,2.0,16.0,209.0,502.0,2
9.0,0.0,12.999999999999998,970.0,624.0,0
15.0,2.0,15.000000000000002,-1.0,-1.0,3
24.0,1.0,15.000000000000002,678.0,469.0,2
18.0,2.0,18.0,-1.0,-1.0,3
14.0,0.0,18.0,-1.0,-1.0,1
23.0,0.0,18.0,746.0,744.0,0
30.0,0.0,18.0,-1.0,-1.0,1
25.0,2.0,19.0,117.0,936.0,2
15.0,0.0,9.0,-1.0,-1.0,1
12.0,1.0,12.999999999999998,286.0,431.0,2
15.0,2.0,19.0,23.0,505.00000000000006,3
77.99999999999999,0.0,15.000000000000002,492.0,207.0,0
28.0,0.0,15.000000000000002,664.0,483.0,0
20.0,1.0,4.0,-1.0,-1.0,1
16.0,2.0,19.0,-1.0,-1.0,3
21.0,2.0,15.000000000000002,-1.0,-1.0,3
31.0,0.0,15.000000000000002,488.0,180.0,0
21.0,0.0,15.000000000000002,-1.0,-1.0,1
17.0,2.0,15.000000000000002,967.0,308.0,2
15.0,0.0,18.0,167.0,499.00000000000006,0
16.0,2.0,15.000000000000002,171.0,584.0,2
49.00000000000001,0.0,15.000000000000002,738.0,931.0,0
19.0,2.0,19.0,-1.0,-1.0,3
28.0,1.0,19.0,413.0,242.0,2
44.0,2.0,15.000000000000002,419.0,260.0,2
49.00000000000001,0.0,15.000000000000002,550.0,345.0,0
27.0,1.0,15.000000000000002,430.0,257.0,2
42.99999999999999,1.0,15.000000000000002,825.0,693.0,2
29.0,1.0,9.0,-1.0,-1.0,1
39.0,0.0,16.0,-1.0,-1.0,1
35.0,0.0,4.0,846.0,660.0,0
33.0,2.0,19.0,275.0,289.0,3
37.0,2.0,8.0,737.0,932.0,2
45.99999999999999,0.0,18.0,-1.0,-1.0,1
19.0,1.0,18.0,839.0,690.0,0
30.0,1.0,15.000000000000002,-1.0,-1.0,1
49.00000000000001,0.0,19.0,310.0,342.0,0
65.0,2.0,12.999999999999998,424.0,258.0,2
25.0,2.0,15.000000000000002,-1.0,-1.0,3
25.0,0.0,19.0,299.0,148.0,1
15.0,2.0,12.999999999999998,-1.0,-1.0,3
14.0,0.0,15.000000000000002,172.0,585.0,0
21.0,0.0,12.999999999999998,-1.0,-1.0,1
22.0,2.0,12.999999999999998,-1.0,-1.0,3
21.0,2.0,12.999999999999998,22.0,503.00000000000006,3
18.0,2.0,10.0,10.0,450.0,3
